Given1,Given2,Gender,Py1,Py2,IPA1,IPA2,open_syll_p,hi_nuc_p,bk_nuc_p,rd_nuc_p,ons_p,obsr_ons_p,non_cor_ons_p
小,俊,1,xiǎo,jùn,ɕjaw,tɕyn,0.5,0.5,0.0,0.5,1.0,1.0,0.0
召,颖,1,zhào,yǐng,tʂaw,iŋ,0.5,0.5,0.0,0.0,0.5,1.0,0.0
苡,馨,0,yǐ,xīn,i,ɕin,0.5,1.0,0.0,0.0,0.5,1.0,0.0
涵,一,0,hán,yī,xan,i,0.5,0.5,0.0,0.0,0.5,1.0,1.0
本,强,1,běn,qiáng,pən,tɕʰjɑŋ,0.0,0.0,0.5,0.0,1.0,1.0,0.5
俊,谷,1,jùn,gǔ,tɕyn,ku,0.5,1.0,0.5,1.0,1.0,1.0,0.5
新,征,1,xīn,zhēng,ɕin,tʂəŋ,0.0,0.5,0.0,0.0,1.0,1.0,0.0
希,玥,0,xī,yuè,ɕi,ɥɛ,1.0,0.5,0.0,0.0,0.5,1.0,0.0
旭,昶,1,xù,chǎng,ɕy,tʂʰaŋ,0.5,0.5,0.0,0.5,1.0,1.0,0.0
新,来,1,xīn,lái,ɕin,laj,0.5,0.5,0.0,0.0,1.0,0.5,0.0
相,霖,1,xiāng,lín,ɕjɑŋ,lin,0.0,0.5,0.5,0.0,1.0,0.5,0.0
信,儿,0,xìn,ér,ɕin,ər,0.0,0.5,0.0,0.0,0.5,1.0,0.0
祥,彪,1,xiáng,biāo,ɕjɑŋ,pjaw,0.5,0.0,0.5,0.0,1.0,1.0,0.5
宝,0,0,bǎo,0,paw,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
永,敏,1,yǒng,mǐn,yŋ,min,0.0,1.0,0.0,0.5,0.5,0.0,1.0
德,海,1,dé,hǎi,tɤ,xaj,1.0,0.0,0.5,0.0,1.0,1.0,0.5
隆,挺,1,lóng,tǐng,luŋ,tʰiŋ,0.0,1.0,0.5,0.5,1.0,0.5,0.0
元,键,1,yuán,jiàn,ɥan,tɕjɛn,0.0,0.0,0.0,0.0,0.5,1.0,0.0
军,成,1,jūn,chéng,tɕyn,tʂʰəŋ,0.0,0.5,0.0,0.5,1.0,1.0,0.0
海,洁,0,hǎi,jié,xaj,tɕjɛ,1.0,0.0,0.0,0.0,1.0,1.0,0.5
泽,永,1,zé,yǒng,tsɤ,yŋ,0.5,0.5,0.5,0.5,0.5,1.0,0.0
焕,成,1,huàn,chéng,xwan,tʂʰəŋ,0.0,0.0,0.0,0.0,1.0,1.0,0.5
传,真,1,chuán,zhēn,tʂʰwan,tʂən,0.0,0.0,0.0,0.0,1.0,1.0,0.0
方,棠,1,fāng,táng,faŋ,tʰaŋ,0.0,0.0,0.0,0.0,1.0,1.0,0.5
中,祥,1,zhōng,xiáng,tʂuŋ,ɕjɑŋ,0.0,0.5,1.0,0.5,1.0,1.0,0.0
经,湘,1,jīng,xiāng,tɕiŋ,ɕjɑŋ,0.0,0.5,0.5,0.0,1.0,1.0,0.0
向,蕙,0,xiàng,huì,ɕjɑŋ,xwej,0.5,0.0,0.5,0.0,1.0,1.0,0.5
景,峰,1,jǐng,fēng,tɕiŋ,fəŋ,0.0,0.5,0.0,0.0,1.0,1.0,0.5
燕,华,1,yàn,huá,jɛn,xwa,0.5,0.0,0.0,0.0,0.5,1.0,1.0
霓,娜,0,ní,nà,ni,na,1.0,0.5,0.0,0.0,1.0,0.0,0.0
志,雄,1,zhì,xióng,tʂʅ,ɕyŋ,0.5,0.5,0.0,0.5,1.0,1.0,0.0
志,煌,1,zhì,huáng,tʂʅ,xwaŋ,0.5,0.0,0.0,0.0,1.0,1.0,0.5
恩,友,1,ēn,yǒu,ən,jəw,0.5,0.0,0.0,0.0,0.0,0,0
云,馨,0,yún,xīn,yn,ɕin,0.0,1.0,0.0,0.5,0.5,1.0,0.0
怿,娈,0,yì,luán,i,lwan,0.5,0.5,0.0,0.0,0.5,0.0,0.0
学,良,1,xué,liáng,ɕɥɛ,ljɑŋ,0.5,0.0,0.5,0.0,1.0,0.5,0.0
康,和,1,kāng,hé,kʰaŋ,xɤ,0.5,0.0,0.5,0.0,1.0,1.0,1.0
启,舜,1,qǐ,shùn,tɕʰi,ʂwən,0.5,0.5,0.0,0.0,1.0,1.0,0.0
学,友,1,xué,yǒu,ɕɥɛ,jəw,1.0,0.0,0.0,0.0,0.5,1.0,0.0
本,祥,1,běn,xiáng,pən,ɕjɑŋ,0.0,0.0,0.5,0.0,1.0,1.0,0.5
春,旺,1,chūn,wàng,tʂʰwən,waŋ,0.0,0.0,0.0,0.0,0.5,1.0,0.0
崇,善,1,chóng,shàn,tʂʰuŋ,ʂan,0.0,0.5,0.5,0.5,1.0,1.0,0.0
世,平,1,shì,píng,ʂʅ,pʰiŋ,0.5,0.5,0.0,0.0,1.0,1.0,0.5
小,野,0,xiǎo,yě,ɕjaw,jɛ,1.0,0.0,0.0,0.0,0.5,1.0,0.0
仁,卉,1,rén,huì,ʐən,xwej,0.5,0.0,0.0,0.0,1.0,1.0,0.5
修,国,1,xiū,guó,ɕjəw,kwo,1.0,0.0,0.5,0.5,1.0,1.0,0.5
育,平,1,yù,píng,y,pʰiŋ,0.5,1.0,0.0,0.5,0.5,1.0,1.0
宏,光,1,hóng,guāng,xuŋ,kwaŋ,0.0,0.5,0.5,0.5,1.0,1.0,1.0
完,存,1,wán,cún,wan,tsʰwən,0.0,0.0,0.0,0.0,0.5,1.0,0.0
君,国,1,jūn,guó,tɕyn,kwo,0.5,0.5,0.5,1.0,1.0,1.0,0.5
俊,荣,1,jùn,róng,tɕyn,ʐuŋ,0.0,1.0,0.5,1.0,1.0,1.0,0.0
灿,0,1,càn,0,tsʰan,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
岩,峻,1,yán,jùn,jɛn,tɕyn,0.0,0.5,0.0,0.5,0.5,1.0,0.0
炳,翔,1,bǐng,xiáng,piŋ,ɕjɑŋ,0.0,0.5,0.5,0.0,1.0,1.0,0.5
自,成,1,zì,chéng,tsɿ,tʂʰəŋ,0.5,0.0,0.0,0.0,1.0,1.0,0.0
朝,华,1,cháo,huá,tʂʰaw,xwa,1.0,0.0,0.0,0.0,1.0,1.0,0.5
久,琪,1,jiǔ,qí,tɕjəw,tɕʰi,1.0,0.5,0.0,0.0,1.0,1.0,0.0
国,桥,1,guó,qiáo,kwo,tɕʰjaw,1.0,0.0,0.5,0.5,1.0,1.0,0.5
孝,存,1,xiào,cún,ɕjaw,tsʰwən,0.5,0.0,0.0,0.0,1.0,1.0,0.0
瑚,珊,1,hú,shān,xu,ʂan,0.5,0.5,0.5,0.5,1.0,1.0,0.5
朝,荣,1,cháo,róng,tʂʰaw,ʐuŋ,0.5,0.5,0.5,0.5,1.0,1.0,0.0
幼,衡,1,yòu,héng,jəw,xəŋ,0.5,0.0,0.0,0.0,0.5,1.0,1.0
依,宸,0,yī,chén,i,tʂʰən,0.5,0.5,0.0,0.0,0.5,1.0,0.0
楚,儿,0,chǔ,ér,tʂʰu,ər,0.5,0.5,0.5,0.5,0.5,1.0,0.0
玉,坤,1,yù,kūn,y,kʰwən,0.5,0.5,0.0,0.5,0.5,1.0,1.0
锡,东,1,xī,dōng,ɕi,tuŋ,0.5,1.0,0.5,0.5,1.0,1.0,0.0
赟,涵,0,yūn,hán,yn,xan,0.0,0.5,0.0,0.5,0.5,1.0,1.0
稚,棱,0,zhì,léng,tʂʅ,ləŋ,0.5,0.0,0.0,0.0,1.0,0.5,0.0
巧,罗,1,qiǎo,luó,tɕʰjaw,lwo,1.0,0.0,0.5,0.5,1.0,0.5,0.0
继,武,1,jì,wǔ,tɕi,u,1.0,1.0,0.5,0.5,0.5,1.0,0.0
智,刚,1,zhì,gāng,tʂʅ,kaŋ,0.5,0.0,0.0,0.0,1.0,1.0,0.5
评,防,1,píng,fáng,pʰiŋ,faŋ,0.0,0.5,0.0,0.0,1.0,1.0,1.0
俊,忠,1,jùn,zhōng,tɕyn,tʂuŋ,0.0,1.0,0.5,1.0,1.0,1.0,0.0
涌,津,1,yǒng,jīn,yŋ,tɕin,0.0,1.0,0.0,0.5,0.5,1.0,0.0
水,亮,1,shuǐ,liàng,ʂwej,ljɑŋ,0.5,0.0,0.5,0.0,1.0,0.5,0.0
国,刚,1,guó,gāng,kwo,kaŋ,0.5,0.0,0.5,0.5,1.0,1.0,1.0
新,祥,1,xīn,xiáng,ɕin,ɕjɑŋ,0.0,0.5,0.5,0.0,1.0,1.0,0.0
馨,妍,0,xīn,yán,ɕin,jɛn,0.0,0.5,0.0,0.0,0.5,1.0,0.0
茂,栋,1,mào,dòng,maw,tuŋ,0.5,0.5,0.5,0.5,1.0,0.5,0.5
默,0,1,mò,0,mo,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
庄,尖,1,zhuāng,jiān,tʂwaŋ,tɕjɛn,0.0,0.0,0.0,0.0,1.0,1.0,0.0
华,杰,1,huá,jié,xwa,tɕjɛ,1.0,0.0,0.0,0.0,1.0,1.0,0.5
祥,玉,1,xiáng,yù,ɕjɑŋ,y,0.5,0.5,0.5,0.5,0.5,1.0,0.0
萱,0,0,xuān,0,ɕɥan,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
一,情,0,yī,qíng,i,tɕʰiŋ,0.5,1.0,0.0,0.0,0.5,1.0,0.0
贤,谦,1,xián,qiān,ɕjɛn,tɕʰjɛn,0.0,0.0,0.0,0.0,1.0,1.0,0.0
诗,龄,0,shī,líng,ʂʅ,liŋ,0.5,0.5,0.0,0.0,1.0,0.5,0.0
建,安,1,jiàn,ān,tɕjɛn,an,0.0,0.0,0.0,0.0,0.5,1.0,0.0
蓓,儿,0,bèi,ér,pej,ər,0.5,0.0,0.0,0.0,0.5,1.0,1.0
汶,0,1,wèn,0,wən,0,0.0,0.0,0.0,0.0,0.0,0,0
珣,0,1,xún,0,ɕyn,0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
楚,怡,0,chǔ,yí,tʂʰu,i,1.0,1.0,0.5,0.5,0.5,1.0,0.0
学,才,1,xué,cái,ɕɥɛ,tsʰaj,1.0,0.0,0.0,0.0,1.0,1.0,0.0
洪,谟,1,hóng,mó,xuŋ,mo,0.5,0.5,1.0,1.0,1.0,0.5,1.0
蒨,雯,0,qiàn,wén,tɕʰjɛn,wən,0.0,0.0,0.0,0.0,0.5,1.0,0.0
耀,昌,1,yào,chāng,jaw,tʂʰaŋ,0.5,0.0,0.0,0.0,0.5,1.0,0.0
献,匾,1,xiàn,biǎn,ɕjɛn,pjɛn,0.0,0.0,0.0,0.0,1.0,1.0,0.5
淇,雯,0,qí,wén,tɕʰi,wən,0.5,0.5,0.0,0.0,0.5,1.0,0.0
思,婷,0,sī,tíng,sɿ,tʰiŋ,0.5,0.5,0.0,0.0,1.0,1.0,0.0
传,根,1,chuán,gēn,tʂʰwan,kən,0.0,0.0,0.0,0.0,1.0,1.0,0.5
行,宇,1,xíng,yǔ,ɕiŋ,y,0.5,1.0,0.0,0.5,0.5,1.0,0.0
芊,千,0,qiān,qiān,tɕʰjɛn,tɕʰjɛn,0.0,0.0,0.0,0.0,1.0,1.0,0.0
隽,希,0,jùn,xī,tɕyn,ɕi,0.5,1.0,0.0,0.5,1.0,1.0,0.0
开,盛,1,kāi,shèng,kʰaj,ʂəŋ,0.5,0.0,0.0,0.0,1.0,1.0,0.5
万,春,1,wàn,chūn,wan,tʂʰwən,0.0,0.0,0.0,0.0,0.5,1.0,0.0
希,成,1,xī,chéng,ɕi,tʂʰəŋ,0.5,0.5,0.0,0.0,1.0,1.0,0.0
巧,0,0,qiǎo,0,tɕʰjaw,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
锦,朝,1,jǐn,cháo,tɕin,tʂʰaw,0.5,0.5,0.0,0.0,1.0,1.0,0.0
梁,剑,1,liáng,jiàn,ljɑŋ,tɕjɛn,0.0,0.0,0.5,0.0,1.0,0.5,0.0
世,亮,1,shì,liàng,ʂʅ,ljɑŋ,0.5,0.0,0.5,0.0,1.0,0.5,0.0
胡,子,1,hú,zǐ,xu,tsɿ,1.0,0.5,0.5,0.5,1.0,1.0,0.5
英,传,1,yīng,chuán,iŋ,tʂʰwan,0.0,0.5,0.0,0.0,0.5,1.0,0.0
联,辉,1,lián,huī,ljɛn,xwej,0.5,0.0,0.0,0.0,1.0,0.5,0.5
中,秀,1,zhōng,xiù,tʂuŋ,ɕjəw,0.5,0.5,0.5,0.5,1.0,1.0,0.0
强,斌,1,qiáng,bīn,tɕʰjɑŋ,pin,0.0,0.5,0.5,0.0,1.0,1.0,0.5
贤,才,1,xián,cái,ɕjɛn,tsʰaj,0.5,0.0,0.0,0.0,1.0,1.0,0.0
文,成,1,wén,chéng,wən,tʂʰəŋ,0.0,0.0,0.0,0.0,0.5,1.0,0.0
志,明,1,zhì,míng,tʂʅ,miŋ,0.5,0.5,0.0,0.0,1.0,0.5,0.5
安,俊,1,ān,jùn,an,tɕyn,0.0,0.5,0.0,0.5,0.5,1.0,0.0
孚,江,1,fú,jiāng,fu,tɕjɑŋ,0.5,0.5,1.0,0.5,1.0,1.0,0.5
剑,鹏,1,jiàn,péng,tɕjɛn,pʰəŋ,0.0,0.0,0.0,0.0,1.0,1.0,0.5
书,雅,0,shū,yǎ,ʂu,ja,1.0,0.5,0.5,0.5,0.5,1.0,0.0
武,好,1,wǔ,hǎo,u,xaw,1.0,0.5,0.5,0.5,0.5,1.0,1.0
秀,桦,0,xiù,huà,ɕjəw,xwa,1.0,0.0,0.0,0.0,1.0,1.0,0.5
乙,芯,0,yǐ,xīn,i,ɕin,0.5,1.0,0.0,0.0,0.5,1.0,0.0
甜,懿,0,tián,yì,tʰjɛn,i,0.5,0.5,0.0,0.0,0.5,1.0,0.0
宗,双,1,zōng,shuāng,tsuŋ,ʂwaŋ,0.0,0.5,0.5,0.5,1.0,1.0,0.0
江,年,1,jiāng,nián,tɕjɑŋ,njɛn,0.0,0.0,0.5,0.0,1.0,0.5,0.0
景,翼,1,jǐng,yì,tɕiŋ,i,0.5,1.0,0.0,0.0,0.5,1.0,0.0
民,传,1,mín,chuán,min,tʂʰwan,0.0,0.5,0.0,0.0,1.0,0.5,0.5
籽,沐,0,zǐ,mù,tsɿ,mu,1.0,0.5,0.5,0.5,1.0,0.5,0.5
其,辉,1,qí,huī,tɕʰi,xwej,1.0,0.5,0.0,0.0,1.0,1.0,0.5
有,声,1,yǒu,shēng,jəw,ʂəŋ,0.5,0.0,0.0,0.0,0.5,1.0,0.0
伯,萍,1,bó,píng,po,pʰiŋ,0.5,0.5,0.5,0.5,1.0,1.0,1.0
先,美,1,xiān,měi,ɕjɛn,mej,0.5,0.0,0.0,0.0,1.0,0.5,0.5
玉,忠,1,yù,zhōng,y,tʂuŋ,0.5,1.0,0.5,1.0,0.5,1.0,0.0
小,龙,1,xiǎo,lóng,ɕjaw,luŋ,0.5,0.5,0.5,0.5,1.0,0.5,0.0
鲁,彬,1,lǔ,bīn,lu,pin,0.5,1.0,0.5,0.5,1.0,0.5,0.5
育,德,1,yù,dé,y,tɤ,1.0,0.5,0.5,0.5,0.5,1.0,0.0
敏,强,1,mǐn,qiáng,min,tɕʰjɑŋ,0.0,0.5,0.5,0.0,1.0,0.5,0.5
昭,红,1,zhāo,hóng,tʂaw,xuŋ,0.5,0.5,0.5,0.5,1.0,1.0,0.5
家,炳,1,jiā,bǐng,tɕja,piŋ,0.5,0.5,0.0,0.0,1.0,1.0,0.5
欣,才,1,xīn,cái,ɕin,tsʰaj,0.5,0.5,0.0,0.0,1.0,1.0,0.0
遵,义,1,zūn,yì,tswən,i,0.5,0.5,0.0,0.0,0.5,1.0,0.0
季,桢,1,jì,zhēn,tɕi,tʂən,0.5,0.5,0.0,0.0,1.0,1.0,0.0
世,佳,1,shì,jiā,ʂʅ,tɕja,1.0,0.0,0.0,0.0,1.0,1.0,0.0
明,矿,1,míng,kuàng,miŋ,kʰwaŋ,0.0,0.5,0.0,0.0,1.0,0.5,1.0
迪,骉,1,dí,biāo,ti,pjaw,1.0,0.5,0.0,0.0,1.0,1.0,0.5
晓,沪,1,xiǎo,hù,ɕjaw,xu,1.0,0.5,0.5,0.5,1.0,1.0,0.5
园,结,1,yuán,jié,ɥan,tɕjɛ,0.5,0.0,0.0,0.0,0.5,1.0,0.0
强,0,1,qiáng,0,tɕʰjɑŋ,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
延,霞,0,yán,xiá,jɛn,ɕja,0.5,0.0,0.0,0.0,0.5,1.0,0.0
乐,珊,0,lè,shān,lɤ,ʂan,0.5,0.0,0.5,0.0,1.0,0.5,0.0
欣,荣,1,xīn,róng,ɕin,ʐuŋ,0.0,1.0,0.5,0.5,1.0,1.0,0.0
雯,奇,0,wén,qí,wən,tɕʰi,0.5,0.5,0.0,0.0,0.5,1.0,0.0
思,阳,0,sī,yáng,sɿ,jɑŋ,0.5,0.0,0.5,0.0,0.5,1.0,0.0
军,继,1,jūn,jì,tɕyn,tɕi,0.5,1.0,0.0,0.5,1.0,1.0,0.0
联,东,1,lián,dōng,ljɛn,tuŋ,0.0,0.5,0.5,0.5,1.0,0.5,0.0
嘉,灏,0,jiā,hào,tɕja,xaw,1.0,0.0,0.0,0.0,1.0,1.0,0.5
红,战,1,hóng,zhàn,xuŋ,tʂan,0.0,0.5,0.5,0.5,1.0,1.0,0.5
萍,屏,1,píng,píng,pʰiŋ,pʰiŋ,0.0,1.0,0.0,0.0,1.0,1.0,1.0
长,江,1,cháng,jiāng,tʂʰaŋ,tɕjɑŋ,0.0,0.0,0.5,0.0,1.0,1.0,0.0
学,鹏,1,xué,péng,ɕɥɛ,pʰəŋ,0.5,0.0,0.0,0.0,1.0,1.0,0.5
柏,山,1,bǎi,shān,paj,ʂan,0.5,0.0,0.0,0.0,1.0,1.0,0.5
明,汉,1,míng,hàn,miŋ,xan,0.0,0.5,0.0,0.0,1.0,0.5,1.0
为,开,0,wéi,kāi,wej,kʰaj,1.0,0.0,0.0,0.0,0.5,1.0,1.0
益,0,0,yì,0,i,0,1.0,1.0,0.0,0.0,0.0,0,0
立,新,1,lì,xīn,li,ɕin,0.5,1.0,0.0,0.0,1.0,0.5,0.0
程,伟,1,chéng,wěi,tʂʰəŋ,wej,0.5,0.0,0.0,0.0,0.5,1.0,0.0
明,雄,1,míng,xióng,miŋ,ɕyŋ,0.0,1.0,0.0,0.5,1.0,0.5,0.5
景,永,1,jǐng,yǒng,tɕiŋ,yŋ,0.0,1.0,0.0,0.5,0.5,1.0,0.0
志,诚,1,zhì,chéng,tʂʅ,tʂʰəŋ,0.5,0.0,0.0,0.0,1.0,1.0,0.0
一,同,1,yī,tóng,i,tʰuŋ,0.5,1.0,0.5,0.5,0.5,1.0,0.0
洪,运,1,hóng,yùn,xuŋ,yn,0.0,1.0,0.5,1.0,0.5,1.0,1.0
心,钰,0,xīn,yù,ɕin,y,0.5,1.0,0.0,0.5,0.5,1.0,0.0
瑗,芳,1,yuàn,fāng,ɥan,faŋ,0.0,0.0,0.0,0.0,0.5,1.0,1.0
春,亭,1,chūn,tíng,tʂʰwən,tʰiŋ,0.0,0.5,0.0,0.0,1.0,1.0,0.0
婧,怡,0,jìng,yí,tɕiŋ,i,0.5,1.0,0.0,0.0,0.5,1.0,0.0
扆,禹,1,yǐ,yǔ,i,y,1.0,1.0,0.0,0.5,0.0,0,0
健,鹏,1,jiàn,péng,tɕjɛn,pʰəŋ,0.0,0.0,0.0,0.0,1.0,1.0,0.5
兆,腾,1,zhào,téng,tʂaw,tʰəŋ,0.5,0.0,0.0,0.0,1.0,1.0,0.0
嘉,艺,0,jiā,yì,tɕja,i,1.0,0.5,0.0,0.0,0.5,1.0,0.0
琪,惠,0,qí,huì,tɕʰi,xwej,1.0,0.5,0.0,0.0,1.0,1.0,0.5
贵,生,1,guì,shēng,kwej,ʂəŋ,0.5,0.0,0.0,0.0,1.0,1.0,0.5
本,坤,1,běn,kūn,pən,kʰwən,0.0,0.0,0.0,0.0,1.0,1.0,1.0
仁,元,1,rén,yuán,ʐən,ɥan,0.0,0.0,0.0,0.0,0.5,1.0,0.0
亮,琪,1,liàng,qí,ljɑŋ,tɕʰi,0.5,0.5,0.5,0.0,1.0,0.5,0.0
振,赫,1,zhèn,hè,tʂən,xɤ,0.5,0.0,0.5,0.0,1.0,1.0,0.5
庄,平,1,zhuāng,píng,tʂwaŋ,pʰiŋ,0.0,0.5,0.0,0.0,1.0,1.0,0.5
葡,萄,0,pú,táo,pʰu,tʰaw,1.0,0.5,0.5,0.5,1.0,1.0,0.5
雨,湖,1,yǔ,hú,y,xu,1.0,1.0,0.5,1.0,0.5,1.0,1.0
水,利,1,shuǐ,lì,ʂwej,li,1.0,0.5,0.0,0.0,1.0,0.5,0.0
振,玉,1,zhèn,yù,tʂən,y,0.5,0.5,0.0,0.5,0.5,1.0,0.0
晓,林,1,xiǎo,lín,ɕjaw,lin,0.5,0.5,0.0,0.0,1.0,0.5,0.0
克,明,1,kè,míng,kʰɤ,miŋ,0.5,0.5,0.5,0.0,1.0,0.5,1.0
心,怡,0,xīn,yí,ɕin,i,0.5,1.0,0.0,0.0,0.5,1.0,0.0
春,久,1,chūn,jiǔ,tʂʰwən,tɕjəw,0.5,0.0,0.0,0.0,1.0,1.0,0.0
保,生,1,bǎo,shēng,paw,ʂəŋ,0.5,0.0,0.0,0.0,1.0,1.0,0.5
晓,辉,1,xiǎo,huī,ɕjaw,xwej,1.0,0.0,0.0,0.0,1.0,1.0,0.5
尚,君,1,shàng,jūn,ʂaŋ,tɕyn,0.0,0.5,0.0,0.5,1.0,1.0,0.0
雄,杰,1,xióng,jié,ɕyŋ,tɕjɛ,0.5,0.5,0.0,0.5,1.0,1.0,0.0
铁,汉,1,tiě,hàn,tʰjɛ,xan,0.5,0.0,0.0,0.0,1.0,1.0,0.5
家,声,1,jiā,shēng,tɕja,ʂəŋ,0.5,0.0,0.0,0.0,1.0,1.0,0.0
正,逵,1,zhèng,kuí,tʂəŋ,kʰwej,0.5,0.0,0.0,0.0,1.0,1.0,0.5
长,洪,1,cháng,hóng,tʂʰaŋ,xuŋ,0.0,0.5,0.5,0.5,1.0,1.0,0.5
志,鸿,1,zhì,hóng,tʂʅ,xuŋ,0.5,0.5,0.5,0.5,1.0,1.0,0.5
增,龙,1,zēng,lóng,tsəŋ,luŋ,0.0,0.5,0.5,0.5,1.0,0.5,0.0
成,平,1,chéng,píng,tʂʰəŋ,pʰiŋ,0.0,0.5,0.0,0.0,1.0,1.0,0.5
尘,0,1,chén,0,tʂʰən,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
承,图,1,chéng,tú,tʂʰəŋ,tʰu,0.5,0.5,0.5,0.5,1.0,1.0,0.0
建,辉,1,jiàn,huī,tɕjɛn,xwej,0.5,0.0,0.0,0.0,1.0,1.0,0.5
文,敏,1,wén,mǐn,wən,min,0.0,0.5,0.0,0.0,0.5,0.0,1.0
大,成,1,dà,chéng,ta,tʂʰəŋ,0.5,0.0,0.0,0.0,1.0,1.0,0.0
之,浩,1,zhī,hào,tʂʅ,xaw,1.0,0.0,0.0,0.0,1.0,1.0,0.5
铁,男,1,tiě,nán,tʰjɛ,nan,0.5,0.0,0.0,0.0,1.0,0.5,0.0
媛,儿,0,yuán,ér,ɥan,ər,0.0,0.0,0.0,0.0,0.0,0,0
英,瑾,1,yīng,jǐn,iŋ,tɕin,0.0,1.0,0.0,0.0,0.5,1.0,0.0
晞,彤,0,xī,tóng,ɕi,tʰuŋ,0.5,1.0,0.5,0.5,1.0,1.0,0.0
源,智,1,yuán,zhì,ɥan,tʂʅ,0.5,0.0,0.0,0.0,0.5,1.0,0.0
健,甫,1,jiàn,fǔ,tɕjɛn,fu,0.5,0.5,0.5,0.5,1.0,1.0,0.5
西,旺,1,xī,wàng,ɕi,waŋ,0.5,0.5,0.0,0.0,0.5,1.0,0.0
子,瀚,1,zǐ,hàn,tsɿ,xan,0.5,0.0,0.0,0.0,1.0,1.0,0.5
钧,0,1,jūn,0,tɕyn,0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
瑞,山,1,ruì,shān,ʐwej,ʂan,0.5,0.0,0.0,0.0,1.0,1.0,0.0
邦,永,1,bāng,yǒng,paŋ,yŋ,0.0,0.5,0.0,0.5,0.5,1.0,1.0
泉,砀,1,quán,dàng,tɕʰɥan,taŋ,0.0,0.0,0.0,0.0,1.0,1.0,0.0
芳,淙,0,fāng,cóng,faŋ,tsʰuŋ,0.0,0.5,0.5,0.5,1.0,1.0,0.5
思,康,1,sī,kāng,sɿ,kʰaŋ,0.5,0.0,0.0,0.0,1.0,1.0,0.5
东,茂,1,dōng,mào,tuŋ,maw,0.5,0.5,0.5,0.5,1.0,0.5,0.5
语,琪,0,yǔ,qí,y,tɕʰi,1.0,1.0,0.0,0.5,0.5,1.0,0.0
定,福,1,dìng,fú,tiŋ,fu,0.5,1.0,0.5,0.5,1.0,1.0,0.5
宏,恩,1,hóng,ēn,xuŋ,ən,0.0,0.5,0.5,0.5,0.5,1.0,1.0
星,0,1,xīng,0,ɕiŋ,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
骏,虎,1,jùn,hǔ,tɕyn,xu,0.5,1.0,0.5,1.0,1.0,1.0,0.5
国,光,1,guó,guāng,kwo,kwaŋ,0.5,0.0,0.5,0.5,1.0,1.0,1.0
芳,源,1,fāng,yuán,faŋ,ɥan,0.0,0.0,0.0,0.0,0.5,1.0,1.0
永,铭,1,yǒng,míng,yŋ,miŋ,0.0,1.0,0.0,0.5,0.5,0.0,1.0
立,扣,1,lì,kòu,li,kʰow,1.0,0.5,0.5,0.5,1.0,0.5,0.5
留,柱,1,liú,zhù,ljəw,tʂu,1.0,0.5,0.5,0.5,1.0,0.5,0.0
芷,璇,0,zhǐ,xuán,tʂʅ,ɕɥan,0.5,0.0,0.0,0.0,1.0,1.0,0.0
子,顺,1,zǐ,shùn,tsɿ,ʂwən,0.5,0.0,0.0,0.0,1.0,1.0,0.0
洪,深,1,hóng,shēn,xuŋ,ʂən,0.0,0.5,0.5,0.5,1.0,1.0,0.5
士,仁,1,shì,rén,ʂʅ,ʐən,0.5,0.0,0.0,0.0,1.0,1.0,0.0
华,荣,1,huá,róng,xwa,ʐuŋ,0.5,0.5,0.5,0.5,1.0,1.0,0.5
正,强,1,zhèng,qiáng,tʂəŋ,tɕʰjɑŋ,0.0,0.0,0.5,0.0,1.0,1.0,0.0
成,成,1,chéng,chéng,tʂʰəŋ,tʂʰəŋ,0.0,0.0,0.0,0.0,1.0,1.0,0.0
增,田,1,zēng,tián,tsəŋ,tʰjɛn,0.0,0.0,0.0,0.0,1.0,1.0,0.0
世,佳,1,shì,jiā,ʂʅ,tɕja,1.0,0.0,0.0,0.0,1.0,1.0,0.0
晴,菲,0,qíng,fēi,tɕʰiŋ,fej,0.5,0.5,0.0,0.0,1.0,1.0,0.5
彦,文,1,yàn,wén,jɛn,wən,0.0,0.0,0.0,0.0,0.0,0,0
奉,祥,1,fèng,xiáng,fəŋ,ɕjɑŋ,0.0,0.0,0.5,0.0,1.0,1.0,0.5
淇,尔,0,qí,ěr,tɕʰi,ər,0.5,0.5,0.0,0.0,0.5,1.0,0.0
漾,玥,0,yàng,yuè,jɑŋ,ɥɛ,0.5,0.0,0.5,0.0,0.0,0,0
惠,俊,1,huì,jùn,xwej,tɕyn,0.5,0.5,0.0,0.5,1.0,1.0,0.5
成,军,1,chéng,jūn,tʂʰəŋ,tɕyn,0.0,0.5,0.0,0.5,1.0,1.0,0.0
宝,怀,1,bǎo,huái,paw,xwaj,1.0,0.0,0.0,0.0,1.0,1.0,1.0
